ngo_description,category,urgency_level
Emergency: porta-potties overflowing at disaster relief site in Ausa,hygiene,Critical
Food vouchers not accepted at local shops near Roha the whole neighborhood is complaining,food,Critical
"Please fix children falling ill due to poor sanitation in Daryapur camp, needs attention soon",hygiene,Medium
"Flood victims surviving on contaminated water with no food, needs attention soon",food,High
SOS: bedridden elderly person in rajapur with no caregiver,elderly support,Critical
FYI: children falling ill due to poor sanitation in Vasai camp,hygiene,Low
Immediate action needed: pls elderly residents unable to access food relief after disaster,food,High
Huge damaged road blocking access to shelters is creating inconvenience,shelter,Medium
Dangerous situation: senior residents facing cold nights without blankets in Barshi is creating inconvenience,elderly support,Critical
"Emergency: outbreak of fever cases reported in Worli with no medical team, needs attention soon",medical,Critical
Dirty wat3r stagnation not urg3nt but should b3 fix3d,medical,Low
Ongoing issue with overflowing waste near shelter camp and it has been like this for days. emergency attention is needed.,hygiene,Critical
HIV patients in Pathri unable to access antiretroviral drugs and it has been like this for days,medical,Medium
"No chalk, blackboard or stationery at makeshift school in Dharavi camp",education,High
Power restoration delayed beyond 8 days in Satpur is creating inconvenience,disaster relief,High
Immediate action needed: drought-affected farmers need emergency food aid,food,High
Urgent: sanitation workers not deployed in Cidco after floods the whole neighborhood is complaining,hygiene,High
Urgent: cyclone shelter in Roha not opened despite warning,disaster relief,High
"Immediate action needed: relief camp in Sinnar has no privacy partitions for families, needs attention soon",shelter,High
Just informing drought-affected farmers need emergency food aid,food,Low
Need to address stagnant water causing health hazard the whole neighborhood is complaining. urgent attention is needed.,medical,Critical
"Elderly residents of Morshi left alone after family evacuation, needs attention soon",elderly support,High
Elderly flood survivor found wandering alone near Bhiwandi is creating inconvenience,elderly support,Medium
"Night soil collected manually and dumped near Khanapur camp, needs attention soon",hygiene,Critical
Immediate action needed: eld3rly man 1n Dhul3 C1ty w1th n0 r3lat1v3s 0r supp0rt aft3r d1sast3r,elderly support,High
Life threatening: pls sanitation volunteers refused entry to Dharavi without reason,hygiene,Critical
Reporting that special needs children without educational support,education,Low
Girls pulled from school to help at home after disaster,education,Critical
Requires immediate response: elderly flood survivor needs mobility assistance in Malkapur the whole neighborhood is complaining,elderly support,Critical
Serious issue: women and children unsafe in open camp at night in Sindkhede the whole neighborhood is complaining,shelter,High
"Please escalate: c0mmun1cat10n t0w3r damag3d 1n Uran, n0 m0b1l3 n3tw0rk f0r 9 days",disaster relief,High
Pls unhygienic conditions causing illness risk is creating inconvenience,hygiene,Medium
High priority: stagnant water breeding mosquitoes in Jogeshwari lanes,hygiene,High
"Pregnant women not receiving nutritional support at relief camp, needs attention soon",food,Medium
"Issue with sparking wire posing fire risk to shelters, needs attention soon pls fix",disaster relief,Medium
No tarpaulins provided to flood survivors,shelter,High
There is drought-affected farmers need emergency food aid,food,Low
Ongoing issue with sewage leak affecting residential area which is causing a lot of trouble. leak attention is needed.,hygiene,High
"No chalk, blackboard or stationery at makeshift school in Dharavi camp",education,Critical
"Power lines down in Sangli City after cyclone, 50 families affected",disaster relief,High
"Please look into landslide destroyed 15 homes in Jogeshwari, urgent shelter needed",shelter,Medium
"landslide destroyed 150 homes in kalamnuri, urgent shelter needed",shelter,Critical
Relief camp in Sangli City overcrowded with 25 families,shelter,High
Unhygi3nic ar3a is cr3ating inconv3ni3nc3,medical,Medium
Infant formula shortage reported at relief centre pls fix,food,Critical
Follow up needed on starvation reported among homeless persons near Alibaug,food,Medium
Emergency: elderly woman in Ratnagiri City not aware of any available relief schemes pls fix,elderly support,Critical
Just informing no early warning system in Amravati City vulnerable village the whole neighborhood is complaining,disaster relief,Low
Flood waters receded but homes too damaged to return to in Hingoli the whole neighborhood is complaining,shelter,Critical
Dangerous situation: dementia patient in Jalgaon Jamod separated from family during evacuation,elderly support,Critical
Serious issue: dead animals decomposing near Dahisar relief camp causing disease risk,hygiene,High
High priority: shortage of medicines at Pachora PHC causing distress is creating inconvenience,medical,High
"No toilets available at relief camp for 100 families, needs attention soon",hygiene,High
Urgent: overflowing waste near shelter camp which is causing a lot of trouble. danger attention is needed.,hygiene,Critical
SOS: shortage of medicines at Wardha City PHC causing distress,medical,Critical
chemical factory spill near baramati causing panic and illness,disaster relief,High
SOS: children falling ill due to poor sanitation in Bibwewadi camp,hygiene,Critical
"Need to address water pipeline burst, families without clean water this is a major safety risk. urgent attention is needed.",food,Critical
Old age home in Chembur damaged and residents displaced is creating inconvenience,elderly support,Critical
"Multiple families trapped in Mangalwedha building, rescue pending, needs attention soon",disaster relief,Low
Typhoid cases rising in Cidco with no treatment available is creating inconvenience,medical,Medium
"SOS: anganwad1 c3ntr3 1n Hadapsar cl0s3d, ch1ldr3n g01ng w1th0ut m3als",food,Critical
Pls old age pensioners in Mul not receiving their monthly allowance,elderly support,Critical
"Pls anganwadi centre in Satara City closed, children going without meals",food,Critical
"Communication tower damaged in Pathri, no mobile network for 14 days is creating inconvenience",disaster relief,High
Roof of shelter in Sindkhede collapsed after heavy rain the whole neighborhood is complaining,shelter,High
"Government school in Mhaisal being used as shelter, no classes held",education,Critical
CRITICAL: pregnant women not receiving nutritional support at relief camp,food,Critical
Kindly address elderly and disabled persons sleeping on bare floor in Sindkhede camp is creating inconvenience,shelter,Medium
Urgent: construction debris blocking evacuation route in Vikhroli,shelter,High
Reporting that uncollected waste affecting families which is causing a lot of trouble. hazard attention is needed.,hygiene,High
CRITICAL: w0m3n and ch1ldr3n unsaf3 1n 0p3n camp at n1ght 1n Jat,shelter,Critical
"Complaint regarding unsanitary conditions, causing inconvenience",medical,Medium
Escalating: diarrhea outbreak in Sindkhede affecting over 20 families is creating inconvenience,medical,High
Issue with porta-potties overflowing at disaster relief site in Satara City,hygiene,Medium
Life threatening: children not enrolled due to lack of documents in Cidco is creating inconvenience,education,Critical
Power outage leaving disaster-affected families in dark is creatin inconvenience,disaster relief,Medium
High priority: night soil collected manually and dumped near Akola City camp,hygiene,High
Follow up needed on injured flood survivors not getting wound care,medical,Medium
Alert: no sandbags provided to protect remaining structures in Vita,shelter,High
No grief counselling for elderly who lost family members in Pune Camp is creating inconvenience,elderly support,High
Pregnant women not receiving nutritional support at relief camp,food,Medium
"Issue reported: mosquito-borne illness risk, medical support needed, moderate urgency",medical,High
Requires immediate response: flood waters receded but homes too damaged to return to in Goregaon,shelter,Critical
"Rescue boats not deployed in Kondhwa despite rising water levels, needs attention soon",disaster relief,High
"Needs attention: no chalk, blackboard or stationery at makeshift school in Akola City camp",education,Medium
No search and rescue teams deployed to Morshi after landslide,disaster relief,Critical
No mid-day meals distributed at school for 14 days is creating inconvenience,food,Critical
"Drainage pipes choked, causing waterlogging in Vikhroli shelter zone is creating inconvenience",hygiene,Critical
Senior citizens in camp not receiving food or medicine the whole neighborhood is complaining,elderly support,Medium
Requires immediate response: pls cyclone shelter in Wani not opened despite warning,disaster relief,Critical
Group of elderly flood survivors need special care and support,elderly support,Critical
Senior citizens in camp not receiving food or medicine pls fix,elderly support,Medium
wheelchair-bound senior unable to access relief services in shriwardhan,elderly support,High
"Critical alert: no waste bins in Nagothane camp, garbage strewn everywhere",hygiene,Critical
"Kindly address tent allocation not done fairly in Wani camp, some families left out",shelter,Medium
Requires immediate response: group of 75 elderly survivors in Akola City need urgent shelter the whole neighborhood is complaining,elderly support,Critical
Children defecating in open near water source in Bhusawal and it has been like this for days,hygiene,High
Str33t light not working not urg3nt but should b3 fix3d,disaster relief,Low
senior citizens unable to stand in relief line in tirora,elderly support,High
Issue with construction of relief houses stalled in Kalamb for 8 days,shelter,Medium
"Newborn in distress at Thane City camp, no paediatric support",medical,Low
SOS: nDRF team not reachable for flood-hit locality in Amgaon the whole neighborhood is complaining,disaster relief,Critical
"Please fix no waste bins in Islampur camp, garbage strewn everywhere and it has been like this for days",hygiene,Medium
Kindly address group home for elderly in Aheri has no generator or backup power,elderly support,Medium
Life threatening: pls chemical factory spill near Nandurbar causing panic and illness,disaster relief,Critical
Reporting that sanitation workers not deployed in Parbhani City after floods is creating inconvenience,hygiene,Low
Night soil collected manually and dumped near Kalamb camp,hygiene,Medium
Old woman in Dhule City collapsed due to lack of food and support,elderly support,Critical
Senior citizens in Nilanga not transported to hospital despite requests,elderly support,Medium
"Drainage pipes choked, causing waterlogging in Miraj shelter zone, needs attention soon",hygiene,Medium
Critical alert: no early warning system in Badnera vulnerable village the whole neighborhood is complaining,disaster relief,Critical
Earthquake tremors felt in Taloja causing structural damage,disaster relief,High
Senior citizen with hearing impairment in Kondhwa getting no support is creating inconvenience,elderly support,High
Community kitchen shut down due to lack of funds,food,Critical
Dangerous situation: children going to school hungry in Govandi due to poverty pls fix,food,Critical
Critical alert: pls children in Umarkhed relief camp have missed 2 days of school,education,Critical
"Breastfeeding mothers in camp without nutritional supplements, needs attention soon",food,High
Just informing no toilets available at relief camp for 75 families the whole neighborhood is complaining,hygiene,Low
Families in Nashik Road have gone without food for 5 days,food,Critical
Bedridden elderly person in Waluj with no caregiver,elderly support,Medium
"Kindly address elderly woman in Pachora not aware of any available relief schemes, needs attention soon",elderly support,Medium
Pls exam postponement causing stress among students in Taloda,education,Critical
"Chemical factory spill near Ghatkopar causing panic and illness, needs attention soon",disaster relief,Medium
For attention: children falling ill due to poor sanitation in Igatpuri camp,hygiene,Low
Teachers unreachable after cyclone in Satara City,education,Critical
Exam postponement causing stress among students in Ardhapur,education,Critical
"Sch00l un1f0rm and sh03s l0st 1n fl00d1ng, ch1ldr3n 3mbarrass3d t0 att3nd",education,Medium
Immediate action needed: children defecating in open near water source in Wanowrie,hygiene,High
Needs attention: child vaccination drive cancelled due to floods,medical,Medium
Open defecation in Satara City posing serious health risk,hygiene,High
"Dangerous situation: school uniform and shoes lost in flooding, children embarrassed to attend the whole neighborhood is complaining",education,Critical
Sanitation volunteers refused entry to Basmath without reason the whole neighborhood is complaining,hygiene,Medium
Reporting that stagnant water causing health hazard which is causing a lot of trouble. danger attention is needed.,medical,High
There is sparking wire posing fire risk to shelter this is a major safety risk. immediate attention is needed.,disaster relief,Critical
Children defecating in open near water source in Kondhwa and it has been like this for days,hygiene,Medium
Sp3c1al n33ds ch1ldr3n w1th0ut 3ducat10nal supp0rt,education,Critical
Food stock expired at distribution point in Ratnagiri City,food,Medium
"Urgent: dirty water, clean water distribution needed",food,Critical
Life threatening: pls girls pulled from school to help at home after disaster,education,Critical
Rat infestation in Goregaon due to uncleared garbage,hygiene,High
Please fix sewage overflow contaminating water supply in Borivali is creating inconvenience,hygiene,Medium
Volunteer teachers needed urgently at relief camp school is creating inconvenience,education,High
Dangerous situation: senior citizens in camp not receiving food or medicine,elderly support,Critical
Issue with hygiene awareness sessions cancelled in Kondhwa without notice,hygiene,Medium
"Issu3 with mosquito probl3m, n33ds att3ntion soon",medical,Medium
Escalating: books and school materials lost to flooding in Phaltan the whole neighborhood is complaining,education,High
"Senior citizen with hearing impairment in Nanded City getting no support, needs attention soon",elderly support,Medium
"Complaint regarding garbage overflow, causing inconvenience",hygiene,Medium
"Immediate action needed: senior citizens unable to stand in relief line in Hadapsar, needs attention soon",elderly support,High
Alert: children in murtajapur relief camp have missed 2 days of school,education,High
Small inconvenience due to loose wires,disaster relief,Low
Emergency: flood relief funds not disbursed to victims in Wani,disaster relief,Critical
Reporting that damaged road infrastructure near community and it has been like this for days. leak attention is needed.,shelter,High
Elderly flood survivor found wandering alone near Nandurbar the whole neighborhood is complaining,elderly support,Low
Alert: stagnant water breeding mosquitoes in Gadchiroli lanes,hygiene,High
"For attention: no waste bins in Satpur camp, garbage strewn everywhere is creating inconvenience",hygiene,Low
"Communication tower damaged in Vasai, no mobile network for 10 days",disaster relief,Critical
Ongoing issue with stagnant water causing health hazard,medical,Low
Emergency: dry ration kits not delivered to 200 registered families,food,Critical
Please look into cholera symptoms reported in 20 residents of Bhokar camp,medical,Medium
Old woman in Latur Camp collapsed due to lack of food and support,elderly support,Critical
Life threatening: relief camp in Waluj has no privacy partitions for families and it has been like this for days,shelter,Critical
Sanitation workers not deployed in Badnera after floods the whole neighborhood is complaining,hygiene,High
Dangerous situation: pls wheelchair-bound senior unable to access relief services in Kolhapur City,elderly support,Critical
Life threatening: mid-day meal stopped at school affecting attendance in Chalisgaon,education,Critical
Ey3 1nf3ct10n spr3ad1ng rap1dly 1n Malkapur du3 t0 unhyg13n1c wat3r,medical,Critical
Urgent: infant formula shortage reported at relief centre is creating inconvenience,food,High
Temporary shelter in Amgaon dismantled before permanent housing arranged the whole neighborhood is complaining,shelter,Low
CRITICAL: temporary shelter disrupting schooling for 30 kids and it has been like this for days,education,Critical
Escalating: earthquake tremors felt in Rajapur causing structural damage,disaster relief,High
Just informing no lighting in disaster-affected area pls fix,disaster relief,Low
Rat infestation in Mul due to uncleared garbage pls fix,hygiene,Medium
Alert: ration shop in Pusad not opening despite government orders,food,High
Critical alert: breastfeeding mothers in camp without nutritional supplements,food,Critical
Requires immediate response: homeless individuals with no access to relief shelters in Vita,shelter,Critical
Alert: no digital access for students during recovery period in Gadchiroli pls fix,education,High
Pls skin disease spreading among relief camp residents,medical,High
Pls cholera symptoms reported in 200 residents of Vasai camp,medical,Medium
Oxygen cylinder shortage reported at health post in Bibwewadi,medical,Critical
Food distribution camp in Kondhwa has run out of supplies the whole neighborhood is complaining,food,Low
no tarpaulins provided to flood survivors,shelter,Low
Open defecation in Aurangabad City posing serious health risk and it has been like this for days,hygiene,Critical
Mental health crisis cases going unaddressed in Amgaon camp and it has been like this for days,medical,Critical
Life threatening: pls children traumatized by flood need psychosocial support in Ardhapur,education,Critical
Senior residents facing cold nights without blankets in Nagbhid,elderly support,Low
"Issue with no water supply, needs attention soon pls fix",food,Medium
Serious issue: pls homeless individuals with no access to relief shelters in Igatpuri,shelter,High
"Complaint regarding no water supply, causing inconvenience",food,Medium
Immediate action needed: no search and rescue teams deployed to Taloja after landslide,disaster relief,High
No sandbags provided to protect remaining structures in Kandhar,shelter,High
Rescue boats not deployed in Shirpur despite rising water levels,disaster relief,High
Flood victims surviving on contaminated water with no food,food,High
Critical alert: flies and pests due to open waste dump near shelter in Murbad,hygiene,Critical
Just informing damaged road leaving community isolated pls fix,shelter,Low
Need to address downed power line endangering disaster survivors,disaster relief,Low
Just informing sparking wires,disaster relief,Low
Construction debris blocking evacuation route in Daryapur,shelter,Critical
"Reporting that animal bite cases, medical attention needed the whole neighborhood is complaining. leak attention is needed.",medical,High
N0 tarpaul1ns pr0v1d3d t0 fl00d surv1v0rs,shelter,Medium
Just informing sparking wir3s,disaster relief,Low
Urgent: sparking wire posing fire risk to shelter,disaster relief,Critical
"Issue with stagnant water breeding mosquitoes in Ambernath lanes, needs attention soon",hygiene,Medium
Kindly address pls families in Mangrulpir sleeping in the open after losing homes,shelter,Medium
No school bus route restored after disaster in Chembur and it has been like this for days,education,High
Cholera symptoms reported in 15 residents of Ratnagiri City camp is creating inconvenience,medical,Critical
Toilets at Chembur camp not cleaned for 14 days the whole neighborhood is complaining,hygiene,Medium
Breastfeeding mothers in camp without nutritional supplements,food,Low
"Pls multiple families trapped in Chembur building, rescue pending",disaster relief,High
Relief camp children without school access for over a week,education,Low
"Issue with sparkin wires, needs attention soon",disaster relief,Medium
High priority: dry ration kits not delivered to 30 registered families,food,High
Old woman in Hatkanangale collapsed due to lack of food and support pls fix,elderly support,High
Needs attention: relief trucks not reaching Islampur due to damaged roads,food,Medium
"School uniform and shoes lost in flooding, children embarrassed to attend the whole neighborhood is complaining",education,Critical
Dirty water stagnation is creating inconvenience,medical,Medium
Bleaching powder not distributed to Shirpur for disinfection,hygiene,Low
Kindly address pls pregnant woman unable to reach hospital due to floods,medical,Medium
Old ag3 h0m3 1n Bhusawal damag3d and r3s1d3nts d1splac3d,elderly support,High
Needs attention: temporary shelters not waterproof causing distress in Purna,shelter,Medium
Life threatening: bedridden elderly person in Sengaon with no caregiver,elderly support,Critical
Pls relief camp in Kagal has no bathing facilities for 100 families,hygiene,Critical
"Critical alert: wounded persons from Jat not shifted to hospital for 10 days, needs attention soon",medical,Critical
"Issue with water leak leaving families without supplyage in pipe, needs attention soon",food,Medium
Issue with pls bleaching powder not distributed to Badnera for disinfection,hygiene,Medium
Menstrual hygiene products not available in Akkalkuwa camp,hygiene,High
"anganwadi centre in garkheda closed, children going without meals",food,Medium
"No grief counselling for elderly who lost family members in Udgir, needs attention soon",elderly support,Critical
Just informing unhygienic conditions causing illness risk,hygiene,Low
Ongoing issue with water leak leaving families without supply this is a major safety risk. life-threatening attention is needed.,food,Critical
Life threatening: elderly flood survivor found wandering alone near Dharavi,elderly support,Critical
Pls no temporary learning centres set up after disaster,education,Critical
"Escalating: anganwadi centre in Igatpuri closed, children going without meals",food,High
Follow up needed on breastfeeding mothers in camp without nutritional supplements is creating inconvenience,food,Medium
Just informing bad sm3ll,hygiene,Low
Please escalate: g1rls pull3d fr0m sch00l t0 h3lp at h0m3 aft3r d1sast3r,education,High
Escalating: elderly residents unable to access food relief after disaster is creating inconvenience,food,High
Cracked walls in housing block posing danger to residents and it has been like this for days,shelter,Critical
Not urgent but power outage needs attention,disaster relief,Critical
Pls girls pulled from school to help at home after disaster,education,Medium
Reporting that garbage pile near community housing which is causing a lot of trouble. leak attention is needed.,hygiene,High
CRITICAL: no digital access for students during recovery period in Nilanga,education,Critical
High priority: earthquake tremors felt in Satpur causing structural damage,disaster relief,High
Immediate action needed: n0 t3mp0rary l3arn1ng c3ntr3s s3t up aft3r d1sast3r,education,High
For attention: rescue boats not deployed in Kondhwa despite rising water levels the whole neighborhood is complaining,disaster relief,Low
"Please escalate: elderly woman in Kandivali surviving only on biscuits, no proper meals",elderly support,High
"Alert: flood relief funds not disbursed to victims in Baramati, needs attention soon",disaster relief,High
Relief camp in Khopoli has no bathing facilities for 150 families,hygiene,Medium
Shelter camp flooded again after second wave of rain in Shirur,shelter,Low
Just informing starvation reported among homeless persons near Panvel pls fix,food,Low
Reporting that damaged road infrastructure near community the whole neighborhood is complaining. urgent attention is needed.,shelter,Critical
Just informing infant formula shortage reported at relief centre,food,Low
open defecation in gadchiroli posing serious health risk,hygiene,Medium
"Mental health crisis cases going unaddressed in Akkalkuwa camp, needs attention soon",medical,High
Life threatening: cyclone shelter in Khamgaon not opened despite warning,disaster relief,Critical
"Muddy water, clean water needed urgently is creating inconvenience pls fix",food,Medium
Escalating: pregnant women not receiving nutritional support at relief camp,food,High
"Dirty drainage blocking road and causing stench in Pen, needs attention soon",hygiene,High
Dangerous situation: elderly and disabled persons sleeping on bare floor in Malkapur camp the whole neighborhood is complaining,shelter,Critical
Rat infestation in Khanapur due to uncleared garbage,hygiene,Medium
"Urgent: starvation reported among homeless persons near Akkalkot, needs attention soon",food,High
Dangerous situation: homeless individuals with no access to relief shelters in Govandi,shelter,Critical
"newborn in distress at miraj camp, no paediatric support",medical,Medium
There is elderly woman in Barshi not aware of any available relief schemes and it has been like this for days,elderly support,Low
"Critical complaint about mosquito-borne illness risk, medical support needed, needs quick action",medical,Critical
"Need to address water pipeline burst, families without clean water which is causing a lot of trouble. hazard attention is needed.",food,High
Minor concern: no school bus route restored after disaster in Govandi the whole neighborhood is complaining,education,Low
"Please escalate: tent allocation not done fairly in Jalgaon Jamod camp, some families left out is creating inconvenience",shelter,High
Books and school materials lost to flooding in Umarkhed pls fix,education,High
Need to address damaged road blocking access to shelter and it has been like this for days. leak attention is needed.,shelter,High
Dementia patient in Khed separated from family during evacuation,elderly support,Critical
Senior citizen with hearing impairment in Tuljapur getting no support,elderly support,High
SOS: flash flood in Washim caught residents off guard with no prior alert is creating inconvenience,disaster relief,Critical
Life threatening: old age home in govandi damaged and residents displaced,elderly support,Critical
High priority: dropout rate rising among migrant children in Vikhroli and it has been like this for days,education,High
Starvation reported among homeless persons near Wanowrie is creating inconvenience,food,Medium
"Issue with garbage piling up, needs attention soon",hygiene,Medium
Urgent: sewage leak affecting residential area the whole neighborhood is complaining. fire attention is needed.,hygiene,Critical
Alert: snake bite cases increasing with no antivenom available,medical,High
Alert: pls old woman in Amgaon collapsed due to lack of food and support,elderly support,High
CRITICAL: snake bite cases increasing with no antivenom available the whole neighborhood is complaining,medical,Critical
"There is an issue with unsanitary conditions, needs to be fixed soon",medical,Medium
"Government school in Vikhroli being used as shelter, no classes held",education,High
Pls eye infection spreading rapidly in Kalamnuri due to unhygienic water,medical,Medium
Ongoing issue with differently-abled student in Mankhurd unable to access ramp or support,education,Low
"Please look into streetlight not working, affecting daily life",disaster relief,Medium
Food stock expired at distribution point in Chamorshi,food,Critical
"Senior residents unable to access medical camp, need home visits",elderly support,Low
Not urgent but garbage overflow needs attention,hygiene,Critical
flash flood in roha caught residents off guard with no prior alert,disaster relief,Critical
"Coaching centre in Khed closed, students without support",education,High
There is no baby food available at Ghatkopar relief distribution point,food,Low
Rescue boats not deployed in Govandi despite rising water levels,disaster relief,Low
Community kitchen shut down due to lack of funds,food,Medium
Cracked walls in housing block posing danger to residents,shelter,Critical
"Critical alert: power lines down in Panvel after cyclone, 15 families affected",disaster relief,Critical
Ongoing issue with power outage leaving disaster-affected families in dark and it has been like this for days. fire attention is needed.,disaster relief,Critical
No baby food available at Pathri relief distribution point is creating inconvenience,food,Critical
Urgent: heavy winds damaged temporary shelters of 10 families in Shirur,shelter,High
Temporary shelters not waterproof causing distress in Khed,shelter,High
Ch1ldr3n fall1ng 1ll du3 t0 p00r san1tat10n 1n Wash1m camp,hygiene,Low
Mid-day meal stopped at school affecting attendance in Khamgaon is creating inconvenience,education,High
Sparkin wires not urgent but should be fixed,disaster relief,Critical
Please fix diabetic patients not receiving appropriate diet support the whole neighborhood is complaining,food,Medium
"Examination hall destroyed, students unable to appear for board exams is creating inconvenience",education,Critical
stagnant water breeding mosquitoes in karjat lanes,hygiene,Critical
Dangerous situation: abandoned elderly person in Vita needs immediate care,elderly support,Critical
Life threatening: night soil collected manually and dumped near Yavatmal City camp,hygiene,Critical
Need to address cracked infrastructure near housing colony this is a major safety risk. urgent attention is needed.,shelter,Critical
There is water leak leaving families without supply which is causing a lot of trouble. water leak leaving families without supply attention is needed.,food,High
Alert: community kitchen shut down due to lack of funds,food,High
Just informing residents of Basmath living under flyover after home destroyed pls fix,shelter,Low
Wounded persons from Nalasopara not shifted to hospital for 9 days and it has been like this for days,medical,Medium
children going to school hungry in kurla due to poverty,food,High
Pls no digital access for students during recovery period in Chandrapur City,education,Critical
Pls overflowing dustbin not urgent but should be fixed,hygiene,Critical
Requires immediate response: n1ght s01l c0ll3ct3d manually and dump3d n3ar Ozar camp,hygiene,Critical
There is old woman in Sinnar collapsed due to lack of food and support,elderly support,Low
No early warning system in Jintur vulnerable village,disaster relief,Critical
Please escalate: bleaching powder not distributed to Pandharpur for disinfection,hygiene,High
Please look into elderly residents unable to access food relief after disaster pls fix,food,Medium
Need to address pregnant woman unable to reach hospital due to floods pls fix,medical,Low
Library books destroyed by flood in Shahada school the whole neighborhood is complaining,education,High
There is stagnant water breeding mosquitoes in Cidco lanes,hygiene,Low
No blankets or mats provided to flood survivors and it has been like this for days,shelter,High
Requires immediate response: emergency food and water yet to reach 20 households in Wai pls fix,disaster relief,Critical
Ov3rflowing dustbin is cr3ating inconv3ni3nc3,hygiene,Medium
There is sewage leak affecting residential area,hygiene,High
Oxygen cylinder shortage reported at health post in Mira Road and it has been like this for days,medical,Medium
Need to address old age pensioners in Baramati not receiving their monthly allowance,elderly support,Low
Please fix elderly man in Amravati City with no relatives or support after disaster is creating inconvenience,elderly support,Medium
Issue with dry ration kits not delivered to 200 registered families,food,Medium
Children traumatized by flood need psychosocial support in Mangalwedha,education,Low
"High priority: newborn in distress at Chalisgaon camp, no paediatric support, needs attention soon",medical,High
SOS: no search and rescue teams deployed to Kondhwa after landslide,disaster relief,Critical
CRITICAL: library books destroyed by flood in Aurangabad City school,education,Critical
Reporting that sewage leak affecting residential area the whole neighborhood is complaining. emergency attention is needed.,hygiene,Critical
Kindly address displaced families not allotted any relief camp in Govandi,shelter,Medium
"Ongoing issue with no lighting in residential area, safety risk and it has been like this for days. emergency attention is needed.",shelter,Critical
Open defecation in Miraj posing serious health risk,hygiene,High
No soap or hygiene kits provided at shelter camp in Alibaug pls fix,hygiene,Critical
"Alert: hygiene awareness sessions cancelled in Nagpur West without notice, needs attention soon",hygiene,High
Please escalate: no temporary learning centres set up after disaster,education,High
Ration shop in Nandurbar not opening despite government orders and it has been like this for days,food,Medium
SOS: wounded persons from Nanded City not shifted to hospital for 3 days and it has been like this for days,medical,Critical
Bad sm3ll not urg3nt but should b3 fix3d,hygiene,Low
No school bus route restored after disaster in Hatkanangale,education,Medium
Elderly residents of Sangli City left alone after family evacuation and it has been like this for days,elderly support,Critical
"Please look into tent allocation not done fairly in Murud camp, some families left out",shelter,Medium
Sparking wires not urgent but should be fixed,disaster relief,Critical
"Relief coordinator in Khanapur unreachable, no one managing distribution",disaster relief,Medium
No temporary learning centres set up after disaster,education,Critical
SOS: roof of shelter in Khopoli collapsed after heavy rain,shelter,Critical
For attention: dry ration kits not delivered to 150 registered families,food,Low
Requires immediate response: dry ration kits not delivered to 150 registered families,food,Critical
Pls dead animals decomposing near Parbhani City relief camp causing disease risk is creating inconvenience,hygiene,Medium
Please look into relief materials piling up in warehouse not reaching Dahisar,disaster relief,Medium
Flies and pests due to open waste dump near shelter in Kurla,hygiene,Low
Please escalate: breastfeeding mothers in camp without nutritional supplements,food,High
Please escalate: injured flood survivors not getting wound care,medical,High
"Oxygen cylinder shortage reported at health post in Borivali, needs attention soon",medical,Critical
Critical alert: dead animals decomposing near Mhaisal relief camp causing disease risk,hygiene,Critical
Relief camp in Umarkhed has no privacy partitions for families,shelter,Critical
D1ab3t1c pat13nts n0t r3c31v1ng appr0pr1at3 d13t supp0rt,food,Medium
"Dangerous situation due to loose wires, please resolve asap",disaster relief,High
Emergency: children in Nagbhid relief camp have missed 6 days of school the whole neighborhood is complaining,education,Critical
High priority: burn injury victim in Jintur needs urgent referral to hospital pls fix,medical,High
Community kitchen shut down due to lack of funds,food,Medium
Elderly residents of Akot left alone after family evacuation,elderly support,High
Please look into food vouchers not accepted at local shops near Yavatmal City,food,Medium
Shelter camp flooded again after second wave of rain in Nilanga,shelter,Critical
Urgent: porta-potties overflowing at disaster relief site in Daund,hygiene,High
"SOS: flood victims surviving on contaminated water with no food, needs attention soon",food,Critical
Immediate action needed: elderly residents unable to access food relief after disaster,food,High
Roof of shelter in Shirpur collapsed after heavy rain,shelter,Critical
Critical alert: no grief counselling for elderly who lost family members in Jogeshwari,elderly support,Critical
Community kitchen shut down due to lack of funds pls fix,food,High
Requires immediate response: old age home in Nagpur West damaged and residents displaced pls fix,elderly support,Critical
"Pls issue with contaminated water causing illness stagnation, needs attention soon",medical,Medium
Community kitchen shut down due to lack of funds,food,Critical
Emergency: elderly residents unable to access food relief after disaster,food,Critical
Temporary shelter disrupting schooling for 150 kids pls fix,education,Medium
Emergency: diarrhea outbreak in Indapur affecting over 150 families pls fix,medical,Critical
SOS: no blankets or mats provided to flood survivors pls fix,shelter,Critical
Requires immediate response: diarrhea outbreak in Taloja affecting over 25 families is creating inconvenience,medical,Critical
Alert: no search and rescue teams deployed to Cidco after landslide,disaster relief,High
Please look into no blankets or mats provided to flood survivors,shelter,Medium
Special needs children without educational support,education,Medium
Rescue boats not deployed in Badnera despite rising water levels,disaster relief,Critical
No mid-day meals distributed at school for 1 days,food,High
Pls infant formula shortage reported at relief centre,food,Critical
"There is mosquito-borne illness risk, medical support needed and it has been like this for days. hazard attention is needed.",medical,High
"High priority: newborn in distress at Akkalkot camp, no paediatric support the whole neighborhood is complaining",medical,High
Escalating: malnourished children spotted in Khopoli relief camp,food,High
No ambulance available in Igatpuri for emergency cases,medical,Medium
No water supply not urgent but should be fixed pls fix,food,Critical
